Date;Type;HomeTeam;HomePTS;AwayTeam;AwayPTS
17/10/2017;Regular;CLE;102;BOS;99
17/10/2017;Regular;GSW;121;HOU;122
18/10/2017;Regular;DET;102;CHO;90
18/10/2017;Regular;IND;140;BRK;131
18/10/2017;Regular;ORL;116;MIA;109
18/10/2017;Regular;WAS;120;PHI;115
18/10/2017;Regular;BOS;100;MIL;108
18/10/2017;Regular;MEM;103;NOP;91
18/10/2017;Regular;DAL;111;ATL;117
18/10/2017;Regular;UTA;106;DEN;96
18/10/2017;Regular;SAS;107;MIN;99
18/10/2017;Regular;PHO;76;POR;124
18/10/2017;Regular;SAC;100;HOU;105
19/10/2017;Regular;TOR;117;CHI;100
19/10/2017;Regular;OKC;105;NYK;84
19/10/2017;Regular;LAL;92;LAC;108
20/10/2017;Regular;CHO;109;ATL;91
20/10/2017;Regular;IND;96;POR;114
20/10/2017;Regular;MIL;97;CLE;116
20/10/2017;Regular;PHI;92;BOS;102
20/10/2017;Regular;WAS;115;DET;111
20/10/2017;Regular;BRK;126;ORL;121
20/10/2017;Regular;MIN;100;UTA;97
20/10/2017;Regular;DAL;88;SAC;93
20/10/2017;Regular;NOP;120;GSW;128
20/10/2017;Regular;PHO;130;LAL;132
21/10/2017;Regular;TOR;128;PHI;94
21/10/2017;Regular;CHI;77;SAS;87
21/10/2017;Regular;CLE;93;ORL;114
21/10/2017;Regular;HOU;107;DAL;91
21/10/2017;Regular;MEM;111;GSW;101
21/10/2017;Regular;MIA;112;IND;108
21/10/2017;Regular;NYK;107;DET;111
21/10/2017;Regular;MIL;113;POR;110
21/10/2017;Regular;DEN;96;SAC;79
21/10/2017;Regular;UTA;96;OKC;87
21/10/2017;Regular;LAC;130;PHO;88
22/10/2017;Regular;BRK;116;ATL;104
22/10/2017;Regular;OKC;113;MIN;115
22/10/2017;Regular;LAL;112;NOP;119
23/10/2017;Regular;DET;86;PHI;97
23/10/2017;Regular;MIA;104;ATL;93
23/10/2017;Regular;HOU;90;MEM;98
23/10/2017;Regular;MIL;103;CHO;94
23/10/2017;Regular;DAL;103;GSW;133
23/10/2017;Regular;SAS;101;TOR;97
23/10/2017;Regular;DEN;104;WAS;109
23/10/2017;Regular;PHO;117;SAC;115
24/10/2017;Regular;CLE;119;CHI;112
24/10/2017;Regular;ORL;125;BRK;121
24/10/2017;Regular;BOS;110;NYK;89
24/10/2017;Regular;MIN;107;IND;130
24/10/2017;Regular;POR;103;NOP;93
24/10/2017;Regular;LAC;102;UTA;84
25/10/2017;Regular;CHO;110;DEN;93
25/10/2017;Regular;DET;122;MIN;101
25/10/2017;Regular;PHI;104;HOU;105
25/10/2017;Regular;BRK;112;CLE;107
25/10/2017;Regular;MIA;100;SAS;117
25/10/2017;Regular;OKC;114;IND;96
25/10/2017;Regular;DAL;103;MEM;94
25/10/2017;Regular;PHO;97;UTA;88
25/10/2017;Regular;GSW;117;TOR;112
25/10/2017;Regular;LAL;102;WAS;99
26/10/2017;Regular;CHI;91;ATL;86
26/10/2017;Regular;MEM;96;DAL;91
26/10/2017;Regular;MIL;89;BOS;96
26/10/2017;Regular;POR;103;LAC;104
26/10/2017;Regular;SAC;106;NOP;114
27/10/2017;Regular;CHO;93;HOU;109
27/10/2017;Regular;ORL;114;SAS;87
27/10/2017;Regular;ATL;100;DEN;105
27/10/2017;Regular;NYK;107;BRK;86
27/10/2017;Regular;MIN;119;OKC;116
27/10/2017;Regular;GSW;120;WAS;117
27/10/2017;Regular;LAL;92;TOR;101
28/10/2017;Regular;NOP;123;CLE;101
28/10/2017;Regular;CHI;69;OKC;101
28/10/2017;Regular;MEM;103;HOU;89
28/10/2017;Regular;MIA;90;BOS;96
28/10/2017;Regular;DAL;110;PHI;112
28/10/2017;Regular;UTA;96;LAL;81
28/10/2017;Regular;POR;114;PHO;107
28/10/2017;Regular;LAC;87;DET;95
29/10/2017;Regular;ATL;106;MIL;117
29/10/2017;Regular;IND;97;SAS;94
29/10/2017;Regular;BRK;111;DEN;124
29/10/2017;Regular;CHO;120;ORL;113
