Date;Year;Home;Away;HG;AG
15/04/2006;2006;Juventude;Paraná;1;0
15/04/2006;2006;Vasco;Internacional;1;1
16/04/2006;2006;Santa Cruz;Figueirense;0;0
16/04/2006;2006;Palmeiras;Ponte Preta;2;3
16/04/2006;2006;Grêmio;Corinthians;2;0
16/04/2006;2006;São Paulo;Flamengo;1;0
16/04/2006;2006;São Caetano;Cruzeiro;2;1
16/04/2006;2006;Botafogo;Fortaleza;1;0
16/04/2006;2006;Goiás;Santos;0;0
16/04/2006;2006;Athletico;Fluminense;1;2
22/04/2006;2006;Corinthians;São Caetano;3;0
22/04/2006;2006;Fluminense;Goiás;1;0
22/04/2006;2006;Figueirense;Palmeiras;6;1
23/04/2006;2006;Cruzeiro;Grêmio;3;1
23/04/2006;2006;Internacional;Santa Cruz;1;0
23/04/2006;2006;Santos;Athletico;2;0
23/04/2006;2006;Ponte Preta;Vasco;1;2
23/04/2006;2006;Flamengo;Juventude;3;1
23/04/2006;2006;Paraná;Botafogo;0;0
23/04/2006;2006;Fortaleza;São Paulo;1;0
29/04/2006;2006;Fortaleza;São Caetano;2;1
29/04/2006;2006;Botafogo;Athletico;0;4
29/04/2006;2006;São Paulo;Santa Cruz;4;0
30/04/2006;2006;Internacional;Flamengo;1;0
30/04/2006;2006;Ponte Preta;Corinthians;3;2
30/04/2006;2006;Paraná;Grêmio;5;2
30/04/2006;2006;Palmeiras;Santos;1;2
30/04/2006;2006;Vasco;Fluminense;1;1
30/04/2006;2006;Juventude;Goiás;1;1
30/04/2006;2006;Figueirense;Cruzeiro;0;2
06/05/2006;2006;Santa Cruz;Ponte Preta;1;1
06/05/2006;2006;Fluminense;Paraná;2;1
06/05/2006;2006;Santos;Fortaleza;2;0
07/05/2006;2006;Goiás;Figueirense;2;1
07/05/2006;2006;Grêmio;Vasco;1;2
07/05/2006;2006;São Caetano;Palmeiras;2;0
07/05/2006;2006;Athletico;Internacional;1;2
07/05/2006;2006;Corinthians;São Paulo;1;3
07/05/2006;2006;Flamengo;Botafogo;1;0
07/05/2006;2006;Cruzeiro;Juventude;2;0
13/05/2006;2006;São Caetano;Juventude;0;2
13/05/2006;2006;Botafogo;Grêmio;2;2
13/05/2006;2006;Santos;Ponte Preta;3;1
14/05/2006;2006;Santa Cruz;Athletico;1;2
14/05/2006;2006;Internacional;São Paulo;3;1
14/05/2006;2006;Figueirense;Fluminense;1;0
