GAME #;SEASON;TYPE;HOME/AWAY;TEAM;RESULT;PTS_FOR;PTS_AGN;OPPONENT;DATE;PTS;REB;AST;MIN;2PM;2PA;3PM;3PA;FTM;FTA;OR;DR;STL;TO;BLK;EFF;;;
1;2019-20;International;A;France U16;W;102;38;U16 Bosnia and Herzegovina;09/08/2019;9;3;0;13;3;4;1;1;0;0;0;3;1;1;4;15;;;
2;2019-20;International;H;France U16;W;69;67;U16 Serbia;10/08/2019;11;10;1;30;4;6;0;1;3;6;5;5;3;3;7;23;;;
3;2019-20;International;A;France U16;W;59;54;U16 Greece;11/08/2019;8;5;2;18;3;6;0;2;2;2;3;2;2;2;5;15;;;
4;2019-20;International;H;France U16;W;70;44;U16 Estonia;13/08/2019;4;3;1;14;2;6;0;1;0;0;0;3;2;3;5;7;;;
5;2019-20;International;A;France U16;W;80;78;U16 Croatia;14/08/2019;12;21;1;35;6;9;0;0;0;0;9;12;1;3;8;37;;;
6;2019-20;International;A;France U16;W;73;56;U16 Italy;16/08/2019;12;13;5;25;4;8;0;1;4;7;4;9;0;1;3;24;;;
7;2019-20;International;H;France U16;L;61;70;U16 Spain;17/08/2019;7;12;0;27;2;5;0;0;3;6;3;9;0;2;5;16;;;
8;2019-20;Regular;A;Nanterre U21;W;77;64;Champagne Basket U21;18/10/2019;7;3;0;13;2;4;0;0;3;6;2;1;1;1;3;8;;;
9;2019-20;Regular;H;Nanterre U21;W;75;65;Orléans U21;26/10/2019;14;4;1;23;7;8;0;2;0;0;0;4;0;0;2;18;;;
10;2019-20;Europe;H;Nanterre U21;L;65;73;Germani Brescia;29/10/2019;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;2019-20;Europe;H;Nanterre U21;L;68;82;Darussafaka;12/11/2019;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;2019-20;Regular;H;Nanterre U21;L;65;76;Boulogne-Levallois U21;16/11/2019;13;4;0;21;2;4;3;5;0;0;2;2;1;2;2;14;;;
13;2019-20;Regular;A;Nanterre U21;W;77;67;Monaco U21;24/11/2019;14;9;1;19;3;3;2;5;2;2;3;6;0;1;1;21;;;
14;2019-20;Regular;H;Nanterre U21;W;88;74;Limoges U21;30/11/2019;15;6;3;23;6;7;0;3;3;4;5;1;0;5;3;17;;;
15;2019-20;Regular;H;Nanterre U21;W;76;68;LDLC ASVEL U21;04/12/2019;5;6;0;22;2;6;0;1;1;2;2;4;0;1;6;10;;;
16;2019-20;Regular;A;Nanterre U21;L;67;73;Strasbourg U21;07/12/2019;9;2;0;12;3;3;1;2;0;0;1;1;0;1;2;11;;;
17;2019-20;Regular;H;Nanterre U21;L;61;71;Cholet U21;23/12/2019;6;3;0;18;3;8;0;1;0;0;0;3;1;2;3;5;;;
18;2019-20;Regular;A;Nanterre U21;W;68;50;Boulogne-Levallois U21;11/01/2020;8;5;2;25;3;4;0;1;2;2;1;4;0;3;6;16;;;
19;2019-20;Regular;H;Nanterre U21;W;82;68;Pau-Lacq-Orthez U21;15/01/2020;14;3;2;18;4;8;2;4;0;0;1;2;1;0;4;18;;;
20;2019-20;Regular;H;Nanterre U21;L;66;78;Strasbourg U21;18/01/2020;7;5;1;22;2;4;1;3;0;0;2;3;1;2;4;12;;;
21;2019-20;Regular;A;Nanterre U21;W;75;61;Le Mans U21;25/01/2020;9;6;0;19;4;8;0;1;1;1;0;6;1;1;3;13;;;
22;2019-20;Regular;H;Nanterre U21;W;71;69;Roanne U21;01/02/2020;12;7;1;24;5;6;0;4;2;3;3;4;0;2;4;16;;;
23;2019-20;Europe;H;Nanterre U21;L;53;90;U18 Zalgiris;07/02/2020;7;6;0;25;2;5;0;5;3;4;1;5;3;3;6;10;;;
24;2019-20;Europe;H;Nanterre U21;W;77;50;U18 Umana Reyer Venice;07/02/2020;18;16;1;24;5;9;2;3;2;2;3;13;6;1;6;41;;;
25;2019-20;Europe;A;Nanterre U21;W;94;86;U18 Casademont Zaragoza;08/02/2020;22;15;1;40;7;11;1;3;5;7;5;10;1;4;9;36;;;
26;2019-20;Europe;H;Nanterre U21;L;52;107;U18 Joventut Badalona;09/02/2020;16;11;1;25;6;11;0;4;4;4;4;7;1;4;3;19;;;
27;2020-21;Regular;H;Nanterre;L;82;95;Bourg-en-Bresse;23/09/2020;0;1;0;4;0;0;0;0;0;0;1;0;0;0;0;1;;;
28;2020-21;Regular;A;Pôle France;W;72;63;Le Havre;20/10/2020;22;10;2;32;9;12;1;5;1;1;5;5;1;3;7;32;;;
29;2020-21;Europe;A;Nanterre;L;63;75;Cedevita Olimpija;04/11/2020;5;6;2;17;1;1;1;2;0;0;2;4;0;1;4;15;;;
30;2020-21;Europe;H;Nanterre;W;90;74;Dreamland Gran Canaria;11/11/2020;0;0;0;8;0;2;0;0;0;0;0;0;0;1;0;-3;;;
31;2020-21;Europe;A;Nanterre;W;104;102;Dolomiti Energia Trentino;18/11/2020;0;3;0;4;0;1;0;0;0;0;0;3;0;0;0;2;;;
32;2020-21;Regular;A;Nanterre;L;67;73;Boulogne-Levallois;22/11/2020;6;6;0;16;1;2;0;0;4;5;1;5;0;0;2;12;;;
33;2020-21;Regular;A;Pôle France;L;69;102;Chartres;04/12/2020;5;5;0;24;2;12;0;5;1;1;2;3;1;0;0;-4;;;
34;2020-21;Europe;H;Nanterre;W;91;70;Promitheas Patras;08/12/2020;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;;
35;2020-21;Regular;H;Nanterre U21;L;67;73;Gravelines U21;12/12/2020;19;10;3;36;8;13;0;3;3;4;3;7;5;6;6;28;;;
36;2020-21;Regular;H;Nanterre U21;W;86;76;Le Portel U21;13/03/2021;10;8;1;15;2;4;2;3;0;0;3;5;0;0;2;18;;;
37;2020-21;Regular;H;Pôle France;L;60;68;SOM Boulogne;23/03/2021;9;2;1;18;2;3;1;5;2;2;1;1;0;2;1;6;;;
38;2020-21;Regular;A;Nanterre U21;L;56;65;Pau-Lacq-Orthez U21;27/03/2021;10;8;0;24;5;10;0;4;0;2;2;6;2;3;3;9;;;
39;2020-21;Regular;A;Nanterre U21;L;67;81;Limoges U21;05/04/2021;12;8;1;26;5;11;0;6;2;2;0;8;1;3;2;9;;;
